iter	Passed	Remaining
0	133	133229
1	208	104013
2	269	89586
3	307	76538
4	341	67946
5	368	61030
6	393	55816
7	418	51856
8	445	49099
9	473	46894
10	499	44874
11	533	43899
12	566	43006
13	598	42161
14	631	41484
15	660	40611
16	696	40247
17	722	39425
18	764	39494
19	793	38878
20	833	38858
21	863	38380
22	903	38373
23	935	38048
24	965	37642
25	994	37270
26	1021	36794
27	1050	36458
28	1083	36269
29	1122	36283
30	1158	36197
31	1182	35779
32	1213	35555
33	1241	35265
34	1272	35080
35	1303	34901
36	1335	34755
37	1359	34411
38	1383	34099
39	1412	33890
40	1437	33628
41	1467	33475
42	1491	33188
43	1524	33130
44	1553	32965
45	1575	32683
46	1600	32451
47	1621	32158
48	1643	31891
49	1664	31632
50	1685	31357
51	1713	31236
52	1737	31040
53	1760	30838
54	1783	30639
55	1809	30504
56	1832	30311
57	1862	30242
58	1889	30142
59	1918	30052
60	1950	30031
61	1981	29972
62	2006	29849
63	2027	29650
64	2050	29499
65	2085	29509
66	2105	29320
67	2125	29131
68	2165	29218
69	2208	29340
70	2244	29374
71	2269	29254
72	2295	29153
73	2319	29022
74	2353	29025
75	2382	28970
76	2408	28865
77	2432	28759
78	2454	28618
79	2477	28496
80	2498	28343
81	2522	28235
82	2547	28148
83	2579	28124
84	2635	28366
85	2716	28866
86	2752	28880
87	2813	29156
88	2863	29310
89	2919	29515
90	2949	29466
91	2970	29321
92	2994	29204
93	3013	29046
94	3040	28962
95	3065	28867
96	3089	28764
97	3116	28680
98	3140	28579
99	3161	28454
100	3181	28322
101	3204	28214
102	3225	28090
103	3249	27996
104	3283	27983
105	3303	27859
106	3325	27749
107	3346	27642
108	3366	27516
109	3394	27462
110	3416	27361
111	3441	27286
112	3472	27261
113	3493	27153
114	3517	27069
115	3538	26966
116	3556	26842
117	3580	26761
118	3604	26683
119	3625	26588
120	3647	26498
121	3669	26410
122	3694	26338
123	3719	26274
124	3745	26217
125	3765	26116
126	3788	26044
127	3810	25956
128	3834	25888
129	3858	25821
130	3891	25814
131	3916	25751
132	3939	25681
133	3964	25619
134	3990	25568
135	4013	25496
136	4035	25417
137	4057	25347
138	4086	25311
139	4110	25248
140	4133	25182
141	4155	25109
142	4179	25046
143	4203	24987
144	4230	24943
145	4255	24890
146	4281	24844
147	4306	24791
148	4334	24754
149	4356	24685
150	4380	24630
151	4405	24577
152	4429	24521
153	4448	24436
154	4471	24378
155	4494	24316
156	4518	24261
157	4549	24246
158	4570	24176
159	4594	24121
160	4616	24056
161	4635	23977
162	4660	23929
163	4685	23884
164	4709	23831
165	4736	23797
166	4762	23753
167	4788	23715
168	4810	23651
169	4838	23622
170	4866	23591
171	4899	23587
172	4922	23532
173	4949	23494
174	4974	23453
175	5006	23441
176	5036	23419
177	5057	23353
178	5087	23332
179	5110	23280
180	5131	23217
181	5153	23163
182	5177	23114
183	5201	23069
184	5222	23006
185	5241	22939
186	5271	22918
187	5291	22852
188	5313	22799
189	5340	22766
190	5361	22710
191	5388	22675
192	5409	22617
193	5430	22560
194	5450	22501
195	5476	22466
196	5503	22433
197	5525	22379
198	5546	22324
199	5566	22265
200	5593	22233
201	5615	22183
202	5637	22132
203	5659	22083
204	5683	22042
205	5709	22005
206	5731	21956
207	5753	21907
208	5782	21885
209	5806	21843
210	5827	21790
211	5851	21749
212	5876	21711
213	5895	21654
214	5920	21616
215	5946	21582
216	5970	21543
217	5995	21505
218	6018	21461
219	6045	21434
220	6073	21409
221	6100	21377
222	6121	21329
223	6147	21297
224	6169	21251
225	6202	21240
226	6223	21194
227	6248	21156
228	6271	21113
229	6295	21074
230	6318	21034
231	6339	20985
232	6362	20944
233	6394	20931
234	6420	20901
235	6444	20862
236	6462	20805
237	6484	20761
238	6506	20718
239	6527	20670
240	6551	20633
241	6570	20581
242	6588	20526
243	6612	20487
244	6641	20465
245	6662	20421
246	6684	20378
247	6712	20353
248	6734	20312
249	6758	20275
250	6780	20233
251	6803	20194
252	6832	20174
253	6860	20148
254	6888	20125
255	6905	20070
256	6930	20037
257	6953	19998
258	6981	19974
259	7001	19926
260	7022	19884
261	7053	19868
262	7081	19843
263	7107	19814
264	7132	19781
265	7157	19750
266	7182	19717
267	7204	19678
268	7225	19635
269	7247	19595
270	7273	19565
271	7296	19528
272	7320	19494
273	7348	19469
274	7377	19450
275	7400	19412
276	7424	19380
277	7448	19344
278	7473	19314
279	7497	19278
280	7523	19249
281	7546	19214
282	7574	19189
283	7602	19167
284	7629	19139
285	7652	19104
286	7678	19076
287	7712	19067
288	7750	19067
289	7774	19034
290	7794	18991
291	7821	18963
292	7850	18943
293	7872	18904
294	7894	18865
295	7922	18842
296	7944	18804
297	7968	18771
298	7991	18736
299	8012	18696
300	8037	18664
301	8060	18629
302	8084	18597
303	8107	18562
304	8137	18543
305	8161	18510
306	8183	18472
307	8205	18436
308	8227	18399
309	8250	18364
310	8276	18335
311	8295	18292
312	8321	18265
313	8351	18246
314	8371	18204
315	8395	18172
316	8418	18138
317	8439	18100
318	8461	18063
319	8483	18028
320	8506	17992
321	8532	17964
322	8557	17935
323	8582	17906
324	8604	17870
325	8626	17836
326	8655	17814
327	8677	17778
328	8700	17743
329	8722	17708
330	8751	17688
331	8781	17668
332	8802	17632
333	8828	17604
334	8848	17565
335	8875	17540
336	8899	17508
337	8920	17471
338	8946	17445
339	8974	17420
340	8998	17389
341	9027	17368
342	9049	17333
343	9069	17295
344	9096	17271
345	9116	17231
346	9144	17209
347	9168	17178
348	9193	17149
349	9224	17131
350	9246	17096
351	9268	17062
